Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Portal root,251,0,2,2.6400543266944227,1.90358700001525,9.690325000008215,7260.0,8.651137059611688,0.0,2,3,3,3,3,4,4,9,10,10,10
GET,Streamlit health,1109,0,2,1.8074801109119571,1.2904710000043451,9.797293000019636,2.0,38.22354979724846,0.0,2,2,2,2,2,2,3,5,8,10,10
,Aggregated,1360,0,2,1.9611390286776915,1.2904710000043451,9.797293000019636,1341.5279411764707,46.874686856860144,0.0,2,2,2,2,3,3,4,5,10,10,10
